"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,99,"HTI","Haiti",1,"Centre","Département","Department",NA,"Plateau Central"
2,99,"HTI","Haiti",2,"Grand'Anse","Département","Department",NA,"Grande-Asne|Grande Anse"
3,99,"HTI","Haiti",3,"L'Artibonite","Département","Department",NA,"Artibonite"
4,99,"HTI","Haiti",4,"Nippes","Département","Department",NA,"Miragoâne"
5,99,"HTI","Haiti",5,"Nord-Est","Département","Department",NA,NA
6,99,"HTI","Haiti",6,"Nord-Ouest","Département","Department",NA,NA
7,99,"HTI","Haiti",7,"Nord","Département","Department",NA,NA
8,99,"HTI","Haiti",8,"Ouest","Département","Department",NA,NA
9,99,"HTI","Haiti",9,"Sud-Est","Département","Department",NA,NA
10,99,"HTI","Haiti",10,"Sud","Département","Department",NA,NA
