"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source",1,"Cerca La Source","Commune","Commune",NA,NA
2,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source",2,"Thomasique","Commune","Commune",NA,NA
3,99,"HTI","Haiti",1,"Centre",2,"Hinche",3,"Cerca Carvajal","Commune","Commune",NA,NA
4,99,"HTI","Haiti",1,"Centre",2,"Hinche",4,"Hinche","Commune","Commune",NA,NA
5,99,"HTI","Haiti",1,"Centre",2,"Hinche",5,"Maïssade","Commune","Commune",NA,NA
6,99,"HTI","Haiti",1,"Centre",2,"Hinche",6,"Thomonde","Commune","Commune",NA,NA
7,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",7,"Belladère","Commune","Commune",NA,NA
8,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",8,"Lascahobas","Commune","Commune",NA,NA
9,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",9,"Savanette","Commune","Commune",NA,NA
10,99,"HTI","Haiti",1,"Centre",4,"Mirebalais",10,"Boucan-Carré","Commune","Commune",NA,NA
11,99,"HTI","Haiti",1,"Centre",4,"Mirebalais",11,"Mirebalais","Commune","Commune",NA,NA
12,99,"HTI","Haiti",1,"Centre",4,"Mirebalais",12,"Saut-d'Eau","Commune","Commune",NA,NA
13,99,"HTI","Haiti",2,"Grand'Anse",5,"Anse d'Hainault",13,"Anse d'Hainault","Commune","Commune",NA,NA
14,99,"HTI","Haiti",2,"Grand'Anse",5,"Anse d'Hainault",14,"Dame Marie","Commune","Commune",NA,NA
15,99,"HTI","Haiti",2,"Grand'Anse",5,"Anse d'Hainault",15,"Les Irois","Commune","Commune",NA,NA
16,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail",16,"Beaumont","Commune","Commune",NA,NA
17,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail",17,"Corail","Commune","Commune",NA,NA
18,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail",18,"Pestel","Commune","Commune",NA,NA
19,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail",19,"Roseaux","Commune","Commune",NA,NA
20,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",20,"Abricots","Commune","Commune",NA,NA
21,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",21,"Bonbon","Commune","Commune",NA,NA
22,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",22,"Chambellan","Commune","Commune",NA,NA
23,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",23,"Jérémie","Commune","Commune",NA,NA
24,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie",24,"Moron","Commune","Commune",NA,NA
25,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines",25,"Desdunes","Commune","Commune",NA,NA
26,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines",26,"Dessalines","Commune","Commune",NA,"Marchandes"
27,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines",27,"Grande Saline","Commune","Commune",NA,NA
28,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines",28,"Petite Rivière de l'Artibonite","Commune","Commune",NA,NA
29,99,"HTI","Haiti",3,"L'Artibonite",9,"Gros-Morne",29,"Anse Rouge","Commune","Commune",NA,NA
30,99,"HTI","Haiti",3,"L'Artibonite",9,"Gros-Morne",30,"Gros-Morne","Commune","Commune",NA,NA
31,99,"HTI","Haiti",3,"L'Artibonite",9,"Gros-Morne",31,"Terre Neuve","Commune","Commune",NA,NA
32,99,"HTI","Haiti",3,"L'Artibonite",10,"les Gonaïves",32,"Ennery","Commune","Commune",NA,NA
33,99,"HTI","Haiti",3,"L'Artibonite",10,"les Gonaïves",33,"Gonaïves","Commune","Commune",NA,NA
34,99,"HTI","Haiti",3,"L'Artibonite",10,"les Gonaïves",34,"L'Estère","Commune","Commune",NA,NA
35,99,"HTI","Haiti",3,"L'Artibonite",11,"Marmelade",35,"Marmelade","Commune","Commune",NA,NA
36,99,"HTI","Haiti",3,"L'Artibonite",11,"Marmelade",36,"Saint Michel de l'Attalaye","Commune","Commune",NA,NA
37,99,"HTI","Haiti",3,"L'Artibonite",12,"Saint-Marc",37,"La Chapelle","Commune","Commune",NA,NA
38,99,"HTI","Haiti",3,"L'Artibonite",12,"Saint-Marc",38,"Saint-Marc","Commune","Commune",NA,NA
39,99,"HTI","Haiti",3,"L'Artibonite",12,"Saint-Marc",39,"Verettes","Commune","Commune",NA,NA
40,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau",40,"Anse-à-Veau","Commune","Commune",NA,NA
41,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau",41,"Baraderes","Commune","Commune",NA,NA
42,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau",42,"L'Azile","Commune","Commune",NA,NA
43,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau",43,"Petit Trou de Nippes","Commune","Commune",NA,NA
44,99,"HTI","Haiti",4,"Nippes",14,"Miragoâne",44,"Miragoâne","Commune","Commune",NA,NA
45,99,"HTI","Haiti",4,"Nippes",14,"Miragoâne",45,"Petite Rivière de Nippes","Commune","Commune",NA,NA
46,99,"HTI","Haiti",5,"Nord-Est",15,"Fort-Liberté",46,"Fort-Liberté","Commune","Commune",NA,NA
47,99,"HTI","Haiti",5,"Nord-Est",15,"Fort-Liberté",47,"Perches","Commune","Commune",NA,NA
48,99,"HTI","Haiti",5,"Nord-Est",15,"Fort-Liberté",48,"Terrier","Commune","Commune",NA,NA
49,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord",49,"Caracol","Commune","Commune",NA,NA
50,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord",50,"Sainte Suzanne","Commune","Commune",NA,NA
51,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord",51,"Terrier Rouge","Commune","Commune",NA,NA
52,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord",52,"Trou du Nord","Commune","Commune",NA,NA
53,99,"HTI","Haiti",5,"Nord-Est",17,"Ouanaminthe",53,"Capotille","Commune","Commune",NA,NA
54,99,"HTI","Haiti",5,"Nord-Est",17,"Ouanaminthe",54,"Mont-Organisé","Commune","Commune",NA,NA
55,99,"HTI","Haiti",5,"Nord-Est",17,"Ouanaminthe",55,"Ouanaminthe","Commune","Commune",NA,NA
56,99,"HTI","Haiti",5,"Nord-Est",18,"Vallières",56,"Carice","Commune","Commune",NA,NA
57,99,"HTI","Haiti",5,"Nord-Est",18,"Vallières",57,"Mombin Crochu","Commune","Commune",NA,NA
58,99,"HTI","Haiti",5,"Nord-Est",18,"Vallières",58,"Vallières","Commune","Commune",NA,NA
59,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas",59,"Baie de Henne","Commune","Commune",NA,NA
60,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas",60,"Bombardopolis","Commune","Commune",NA,NA
61,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas",61,"Jean-Rabel","Commune","Commune",NA,NA
62,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas",62,"Môle Saint Nicholas","Commune","Commune",NA,NA
63,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix",63,"Bassin Bleu","Commune","Commune",NA,NA
64,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix",64,"Chansolme","Commune","Commune",NA,NA
65,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix",65,"La Tortue","Commune","Commune",NA,NA
66,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix",66,"Port-de-Paix","Commune","Commune",NA,NA
67,99,"HTI","Haiti",6,"Nord-Ouest",21,"Saint-Louis du Nord",67,"Anse-à-Foleur","Commune","Commune",NA,NA
68,99,"HTI","Haiti",6,"Nord-Ouest",21,"Saint-Louis du Nord",68,"Saint Louis du Nord","Commune","Commune",NA,NA
69,99,"HTI","Haiti",7,"Nord",22,"Borgne",69,"Borgne","Commune","Commune",NA,NA
70,99,"HTI","Haiti",7,"Nord",22,"Borgne",70,"La Victoire","Commune","Commune",NA,NA
71,99,"HTI","Haiti",7,"Nord",22,"Borgne",71,"Pignon","Commune","Commune",NA,NA
72,99,"HTI","Haiti",7,"Nord",22,"Borgne",72,"Port-Margot","Commune","Commune",NA,NA
73,99,"HTI","Haiti",7,"Nord",22,"Borgne",73,"Ranquitte","Commune","Commune",NA,NA
74,99,"HTI","Haiti",7,"Nord",23,"Grande-Rivière du Nord",74,"Bahon","Commune","Commune",NA,NA
75,99,"HTI","Haiti",7,"Nord",23,"Grande-Rivière du Nord",75,"Grand Rivière du Nord","Commune","Commune",NA,NA
76,99,"HTI","Haiti",7,"Nord",24,"l'Acul-du-Nord",76,"Acul du Nord","Commune","Commune",NA,NA
77,99,"HTI","Haiti",7,"Nord",24,"l'Acul-du-Nord",77,"Milot","Commune","Commune",NA,NA
78,99,"HTI","Haiti",7,"Nord",24,"l'Acul-du-Nord",78,"Plaine du Nord","Commune","Commune",NA,NA
79,99,"HTI","Haiti",7,"Nord",25,"le Cap-Haïtien",79,"Cap-Haïtien","Commune","Commune",NA,NA
80,99,"HTI","Haiti",7,"Nord",25,"le Cap-Haïtien",80,"Limonade","Commune","Commune",NA,NA
81,99,"HTI","Haiti",7,"Nord",25,"le Cap-Haïtien",81,"Quartier Morin","Commune","Commune",NA,NA
82,99,"HTI","Haiti",7,"Nord",26,"le Limbé",82,"Bas Limbé","Commune","Commune",NA,NA
83,99,"HTI","Haiti",7,"Nord",26,"le Limbé",83,"Limbé","Commune","Commune",NA,NA
84,99,"HTI","Haiti",7,"Nord",27,"Plaisance",84,"Pilate","Commune","Commune",NA,NA
85,99,"HTI","Haiti",7,"Nord",27,"Plaisance",85,"Plaisance","Commune","Commune",NA,NA
86,99,"HTI","Haiti",7,"Nord",28,"Saint-Raphaël",86,"Dondon","Commune","Commune",NA,NA
87,99,"HTI","Haiti",7,"Nord",28,"Saint-Raphaël",87,"Saint-Raphaël","Commune","Commune",NA,NA
88,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets",88,"Cornillon","Commune","Commune",NA,"Grande Bois"
89,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets",89,"Croix-des Bouquets","Commune","Commune",NA,NA
90,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets",90,"Fonds-Verettes","Commune","Commune",NA,NA
91,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets",91,"Ganthier","Commune","Commune",NA,NA
92,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets",92,"Thomazeau","Commune","Commune",NA,NA
93,99,"HTI","Haiti",8,"Ouest",30,"l'Arcahaie",93,"Arcahaie","Commune","Commune",NA,NA
94,99,"HTI","Haiti",8,"Ouest",30,"l'Arcahaie",94,"Cabaret","Commune","Commune",NA,NA
95,99,"HTI","Haiti",8,"Ouest",31,"La Gonâve",95,"Anse-à-Galets","Commune","Commune",NA,NA
96,99,"HTI","Haiti",8,"Ouest",31,"La Gonâve",96,"Pointe-à-Raquette","Commune","Commune",NA,NA
97,99,"HTI","Haiti",8,"Ouest",32,"Léogâne",97,"Grand-Goâve","Commune","Commune",NA,NA
98,99,"HTI","Haiti",8,"Ouest",32,"Léogâne",98,"Léogâne","Commune","Commune",NA,NA
99,99,"HTI","Haiti",8,"Ouest",32,"Léogâne",99,"Petit-Goâve","Commune","Commune",NA,NA
100,99,"HTI","Haiti",8,"Ouest",33,"Port-au-Prince",100,"Carrefour","Commune","Commune",NA,NA
101,99,"HTI","Haiti",8,"Ouest",33,"Port-au-Prince",101,"Delmas","Commune","Commune",NA,NA
